Date,Price,Open,High,Low,Vol.,Change %,ID,AVG
10/01/2018,3.261,3.007,3.368,3.001,3.99M,8.41%,84,3.159
11/01/2018,4.612,3.284,4.929,3.166,4.45M,41.43%,83,3.998
12/01/2018,2.94,4.527,4.666,2.93,2.76M,-36.25%,82,3.766
01/01/2019,2.814,2.921,3.722,2.789,2.70M,-4.29%,81,3.062
02/01/2019,2.812,2.832,2.908,2.543,2.24M,-0.07%,80,2.774
03/01/2019,2.662,2.805,2.897,2.656,1.95M,-5.33%,79,2.755
04/01/2019,2.575,2.663,2.733,2.439,2.30M,-3.27%,78,2.603
05/01/2019,2.454,2.572,2.7,2.444,2.50M,-4.70%,77,2.543
06/01/2019,2.308,2.444,2.475,2.159,2.65M,-5.95%,76,2.347
07/01/2019,2.233,2.33,2.489,2.107,3.08M,-3.25%,75,2.29
08/01/2019,2.285,2.238,2.333,2.029,3.25M,2.33%,74,2.221
09/01/2019,2.33,2.288,2.71,2.269,3.44M,1.97%,73,2.399
10/01/2019,2.633,2.325,2.738,2.187,4.11M,13.00%,72,2.471
11/01/2019,2.281,2.637,2.905,2.27,3.66M,-13.37%,71,2.523
12/01/2019,2.189,2.315,2.51,2.138,3.77M,-4.03%,70,2.288
01/01/2020,1.841,2.184,2.255,1.812,3.85M,-15.90%,69,2.023
02/01/2020,1.684,1.852,2.025,1.642,4.04M,-8.53%,68,1.801
03/01/2020,1.64,1.695,1.998,1.519,3.84M,-2.61%,67,1.713
04/01/2020,1.949,1.643,1.974,1.521,3.57M,18.84%,66,1.772
05/01/2020,1.849,1.936,2.162,1.595,3.65M,-5.13%,65,1.886
06/01/2020,1.751,1.83,1.864,1.432,3.39M,-5.30%,64,1.719
07/01/2020,1.799,1.754,1.928,1.605,2.90M,2.74%,63,1.772
08/01/2020,2.63,1.859,2.743,1.852,3.34M,46.19%,62,2.271
09/01/2020,2.527,2.628,2.789,1.795,3.16M,-3.92%,61,2.435
10/01/2020,3.354,2.55,3.396,2.373,3.13M,32.73%,60,2.918
11/01/2020,2.882,3.374,3.393,2.525,2.51M,-14.07%,59,3.044
12/01/2020,2.539,2.934,2.972,2.238,2.97M,-11.90%,58,2.671
01/01/2021,2.564,2.626,2.899,2.414,2.45M,0.98%,57,2.626
02/01/2021,2.771,2.73,3.316,2.697,3.30M,8.07%,56,2.879
03/01/2021,2.608,2.8,2.887,2.422,2.14M,-5.88%,55,2.679
04/01/2021,2.931,2.605,2.971,2.453,2.14M,12.38%,54,2.74
05/01/2021,2.986,2.938,3.15,2.832,1.81M,1.88%,53,2.977
06/01/2021,3.65,3.036,3.814,3.01,2.73M,22.24%,52,3.378
07/01/2021,3.914,3.746,4.187,3.52,2.29M,7.23%,51,3.842
08/01/2021,4.377,3.973,4.526,3.734,2.60M,11.83%,50,4.153
09/01/2021,5.867,4.403,6.28,4.378,3.51M,34.04%,49,5.232
10/01/2021,5.426,5.975,6.466,4.825,3.31M,-7.52%,48,5.673
11/01/2021,4.567,5.31,5.876,4.482,2.70M,-15.83%,47,5.059
12/01/2021,3.73,4.606,4.664,3.536,2.54M,-18.33%,46,4.134
01/01/2022,4.874,3.702,7.4,3.638,2.37M,30.67%,45,4.904
02/01/2022,4.402,4.921,5.572,3.876,2.55M,-9.68%,44,4.693
03/01/2022,5.642,4.408,5.832,4.34,2.17M,28.17%,43,5.056
04/01/2022,7.244,5.627,8.065,5.505,3.00M,28.39%,42,6.61
05/01/2022,8.145,7.412,9.401,6.43,2.22M,12.44%,41,7.847
06/01/2022,5.424,8.271,9.664,5.357,2.63M,-33.41%,40,7.179
07/01/2022,8.229,5.701,9.752,5.325,1.81M,51.71%,39,7.252
08/01/2022,9.127,7.91,10.028,7.532,2.03M,10.91%,38,8.649
09/01/2022,6.766,9.133,9.394,6.456,1.97M,-25.87%,37,7.937
10/01/2022,6.355,6.8,7.188,4.75,2.01M,-6.07%,36,6.273
11/01/2022,6.93,6.27,7.604,5.614,2.12M,9.05%,35,6.605
12/01/2022,4.475,6.966,7.213,4.378,2.36M,-35.43%,34,5.758
01/01/2023,2.684,4.393,4.394,2.612,2.12M,-40.02%,33,3.521
02/01/2023,2.747,2.73,2.788,1.967,3.02M,2.35%,32,2.558
03/01/2023,2.216,2.769,3.027,1.944,2.81M,-19.33%,31,2.489
04/01/2023,2.41,2.085,2.529,1.946,2.90M,8.75%,30,2.243
05/01/2023,2.266,2.398,2.685,2.031,2.62M,-5.98%,29,2.345
06/01/2023,2.798,2.255,2.839,2.136,2.92M,23.48%,28,2.507
07/01/2023,2.634,2.729,2.793,2.463,2.08M,-5.86%,27,2.655
08/01/2023,2.768,2.644,3.018,2.425,3.09M,5.09%,26,2.714
09/01/2023,2.929,2.765,2.997,2.5,2.26M,5.82%,25,2.798
10/01/2023,3.575,2.958,3.63,2.82,3.12M,22.06%,24,3.246
11/01/2023,2.802,3.6,3.608,2.669,2.50M,-21.62%,23,3.17
12/01/2023,2.514,2.809,2.844,2.235,3.07M,-10.28%,22,2.601
01/01/2024,2.1,2.605,3.392,2.037,3.37M,-16.47%,21,2.534
02/01/2024,2.008,2.151,2.177,1.6,2.85M,-4.38%,20,1.984
03/01/2024,1.763,1.852,2.009,1.481,2.61M,-12.20%,19,1.776
04/01/2024,1.991,1.755,2.092,1.482,3.34M,12.93%,18,1.83
05/01/2024,2.587,1.954,2.924,1.913,3.38M,29.93%,17,2.345
06/01/2024,2.598,2.716,3.221,2.591,1.90M,0.43%,16,2.782
07/01/2024,2.036,2.576,2.602,1.856,2.89M,-21.63%,15,2.268
08/01/2024,2.127,2.046,2.301,1.856,3.27M,4.47%,14,2.083
09/01/2024,2.923,2.146,2.948,2.075,3.16M,37.42%,13,2.523
10/01/2024,2.707,2.907,3.019,2.2,3.46M,-7.39%,12,2.708
11/01/2024,3.363,2.702,3.563,2.514,3.51M,24.23%,11,3.036
12/01/2024,3.633,3.22,4.201,2.977,4.08M,8.03%,10,3.508
01/01/2025,3.044,3.656,4.369,2.99,3.27M,-16.21%,9,3.515
02/01/2025,3.834,3.23,4.476,3.161,3.62M,25.95%,8,3.675
03/01/2025,4.119,3.779,4.901,3.689,3.59M,7.43%,7,4.122
04/01/2025,3.326,4.132,4.203,2.858,3.51M,-19.25%,6,3.63
05/01/2025,3.447,3.353,3.84,3.098,2.94M,3.64%,5,3.435
06/01/2025,3.456,3.501,4.148,3.199,3.14M,0.26%,4,3.576
07/01/2025,3.106,3.453,3.629,2.972,2.82M,-10.13%,3,3.29
08/01/2025,2.997,3.1,3.148,2.622,2.79M,-3.51%,2,2.967
09/01/2025,2.941,3.003,3.198,2.87,2.13M,-1.87%,1,3.003
