"REF_DATE","GEO","DGUID","Fertilizer product type","Period","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Ontario","2016A000235","Urea ammonium nitrate (UAN) 28-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471452","5.3.4","154","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471129","5.4.1","1","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471237","5.4.2","10","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471345","5.4.3","12","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471453","5.4.4","15","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium sulphate (AS) 20-0-0-24","July to September","Metric tonnes","214","thousands","3","v52471130","5.5.1","2","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium sulphate (AS) 20-0-0-24","July to December","Metric tonnes","214","thousands","3","v52471238","5.5.2","5","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium sulphate (AS) 20-0-0-24","July to March","Metric tonnes","214","thousands","3","v52471346","5.5.3","6","","","","0"
"2006/2007","Ontario","2016A000235","Ammonium sulphate (AS) 20-0-0-24","July to June","Metric tonnes","214","thousands","3","v52471454","5.5.4","14","","","","0"
"2006/2007","Ontario","2016A000235","Monoammonium phosphate (MAP) 11-52-0","July to September","Metric tonnes","214","thousands","3","v52471131","5.6.1","21","","","","0"
"2006/2007","Ontario","2016A000235","Monoammonium phosphate (MAP) 11-52-0","July to December","Metric tonnes","214","thousands","3","v52471239","5.6.2","38","","","","0"
"2006/2007","Ontario","2016A000235","Monoammonium phosphate (MAP) 11-52-0","July to March","Metric tonnes","214","thousands","3","v52471347","5.6.3","","x","","","0"
"2006/2007","Ontario","2016A000235","Monoammonium phosphate (MAP) 11-52-0","July to June","Metric tonnes","214","thousands","3","v52471455","5.6.4","","x","","","0"
"2006/2007","Ontario","2016A000235","Diammonium phosphate (DAP) 18-46-0","July to September","Metric tonnes","214","thousands","3","v52471132","5.7.1","","0s","","","0"
