"REF_DATE","GEO","DGUID","Fertilizer product type","Period","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009/2010","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to September","Metric tonnes","214","thousands","3","v52471060","1.7.1","0","","","","0"
"2009/2010","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to December","Metric tonnes","214","thousands","3","v52471069","1.7.2","0","","","","0"
"2009/2010","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to March","Metric tonnes","214","thousands","3","v52471078","1.7.3","0","","","","0"
"2009/2010","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to June","Metric tonnes","214","thousands","3","v52471087","1.7.4","0","","","","0"
"2009/2010","Canada","2016A000011124","Potash 0-0-60-0","July to September","Metric tonnes","214","thousands","3","v52471061","1.8.1","1465","","","","0"
"2009/2010","Canada","2016A000011124","Potash 0-0-60-0","July to December","Metric tonnes","214","thousands","3","v52471070","1.8.2","3773","","","","0"
"2009/2010","Canada","2016A000011124","Potash 0-0-60-0","July to March","Metric tonnes","214","thousands","3","v52471079","1.8.3","7525","","","","0"
"2009/2010","Canada","2016A000011124","Potash 0-0-60-0","July to June","Metric tonnes","214","thousands","3","v52471088","1.8.4","11729","","","","0"
"2009/2010","Canada","2016A000011124","Other fertilizer products","July to September","Metric tonnes","214","thousands","3","v52471062","1.9.1","","x","","","0"
"2009/2010","Canada","2016A000011124","Other fertilizer products","July to December","Metric tonnes","214","thousands","3","v52471071","1.9.2","","x","","","0"
"2009/2010","Canada","2016A000011124","Other fertilizer products","July to March","Metric tonnes","214","thousands","3","v52471080","1.9.3","","x","","","0"
"2009/2010","Canada","2016A000011124","Other fertilizer products","July to June","Metric tonnes","214","thousands","3","v52471089","1.9.4","157","","","","0"
"2010/2011","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471054","1.1.1","962","","","","0"
