Date,Price,Open,High,Low,Vol.,Avg,ID
10/01/2023,478.75,477,509.5,476,3.35M,485.31,286
11/01/2023,461.75,478.75,481.25,447,3.79M,467.19,287
12/01/2023,471.25,460.25,484,455,1.13M,467.63,288
01/01/2024,458.5,483,483.75,447.5,1.31M,468.19,289
02/01/2024,415.75,448,448.75,394.5,3.61M,426.75,290
03/01/2024,454.5,429.25,460,422,2.32M,441.44,291
04/01/2024,446.75,454.5,454.5,435.75,3.54M,447.88,292
05/01/2024,454,446.75,483.75,443.75,3.03M,457.06,293
06/01/2024,397.25,445.75,460.5,390.5,3.98M,423.50,294
07/01/2024,382.75,397.25,412,381,1.76M,393.25,295
08/01/2024,401,399.75,409,385,4.42M,398.69,296
09/01/2024,424.75,378,427.75,376.5,2.05M,401.75,297
10/01/2024,410.75,423.5,434.25,399,5.16M,416.88,298
11/01/2024,433,425.75,447.75,425.5,3.53M,433.00,299
12/01/2024,458.5,423,459,420.25,1.84M,440.19,300
01/01/2025,493,465,508,456.75,2.29M,480.69,301
02/01/2025,453.5,476.75,504.5,453,4.04M,471.94,302
03/01/2025,463.25,469.75,477.5,442.5,3.83M,463.25,303
04/01/2025,475.5,463.5,497.5,455.25,3.91M,472.94,304
05/01/2025,423.25,475,480,420.75,2.99M,449.75,305
06/01/2025,409.25,423.25,434.75,402.25,2.90M,417.38,306
07/01/2025,413.75,408.25,430.25,391.25,3.40M,410.88,307
08/01/2025,420.25,413.25,420.5,392,4.45M,411.50,308
09/01/2025,424.25,419.5,431.13,414.1,1.52M,422.25,309
